livefans_artist_id,eplus_artist_id
569,40442
16262,43808
1731,21706
82147,82751
5216,41732
9965,59110
10864,58319
43314,3016
5838,11456
13635,47385
78148,92567
3405,3056
24274,59098
60782,69948
2448,3211
5906,37410
,53749
12425,59388
5508,50482
135,2129
5973,1248
328,31582
8895,3806
740,6683
36905,65401
2765,1979
1774,1242
9689,43599
74676,81621
2742,2086
1776,654
777,627
1039,2541
5135,15409
2516,1221
919,2080
601,44026
14330,36120
69575,70154
46320,87653
64183,32782
2725,622
187,628
1775,4478
3718,37098
44985,82794
66897,74750
26354,61570
2072,2448
13249,39186
8125,40470
10231,81668
9798,51744
77781,85669
5896,1236
4911,26203
603,17575
62995,72194
23299,54608
1825,3218
,6854
2034,633
2945,3010
3135,41477
65564,69154
7770,43306
1768,932
4910,34178
7478,33308
5391,44687
29995,60490
20369,57417
58498,81978
8552,26054
24583,69485
5445,47857
5078,83551
83556,82200
50623,72207
35870,68898
47782,67806
78317,72432
83262,82509
59437,75373
5540,5994
1937,24994
3590,2398
5217,1243
84719,45180
24109,70952
19,2289
735,26044
736,621
55695,73818
73589,71183
38400,66518
31929,64252
57105,72869
14805,42522
9541,52553
47080,70919
,72475
,60505
37370,66663
1004,23018
59083,72973
,42780
41767,80647
,51424
17110,59622
27012,61996
,682
68428,84177
8522,3180
11961,56017
10007,55177
10132,55183
3294,2316
20959,3513
474,2611
50577,68625
9656,11491
47178,67262
1713,713
25938,52435
63484,73052
17324,56503
11038,1918
5381,43566
3559,5095
20988,61070
1532,21820
28577,65619
17869,56296
2521,668
1834,665
3400,24003
60154,68383
182,4858
13512,40039
46543,75247
852,680
2017,21446
11514,57776
,67270
5868,6290
11966,56089
64514,72532
7503,32836
967,17826
66910,71512
3036,2468
865,15008
7363,5943
2920,20088
,57777
359,679
1583,2048
1496,719
2060,6694
14807,55101
31759,65861
17361,59447
65576,86490
25,2089
20954,62478
6728,31715
,31287
7561,49342
10633,59823
6864,52494
27053,61045
11515,54257
14332,664
275,1965
,68421
4039,5385
42075,4096
2965,32324
5734,46612
1582,669
,64909
542,19381
14413,54457
6721,31288
3142,38828
23593,59443
1639,3514
62829,73717
6756,44678
198,3631
4057,5100
4040,14608
1943,698
43366,50968
10471,53027
25762,40209
32105,68823
64280,70572
47547,66865
779,5938
61239,70406
10105,41236
936,80074
310,708
768,676
13336,56689
6398,7050
16588,68706
1797,712
14220,45072
628,5105
43204,66985
9995,37662
5638,51672
25006,43591
42,4765
16450,63361
2389,5692
30916,64749
3095,20111
2051,3124
77,1223
6731,36855
22007,59379
1037,2423
11375,683
557,892
14733,55407
471,673
5604,57876
3149,41309
15870,55811
4041,4180
203,6974
1089,2434
9999,46865
20644,82267
2942,33776
16198,55422
46636,68997
6994,37421
4907,33898
25332,60276
24423,82081
7771,37246
726,5386
11949,51746
78149,85433
4742,2212
4374,2846
2733,2492
52273,66877
,86621
3133,15203
28000,63971
25055,55723
3272,34629
4033,36250
63986,55221
25289,807
27328,64059
52219,71616
18771,58583
16930,50994
8019,42446
6732,38410
6257,38815
9657,22177
3085,13589
30283,58603
8171,895
491,2686
1726,941
223,15249
13897,55118
1727,792
6603,34144
79220,87323
13543,61407
2174,1261
10044,36192
3744,85386
11269,60680
6121,53427
6466,53110
4750,1232
36128,68052
634,32582
56670,69506
,55132
14614,61248
18279,60323
6433,54737
633,2119
,49232
1090,5389
,6027
6409,36123
8028,38477
12893,49424
23,799
9532,44175
5156,42210
9682,54177
9329,60074
191,19811
7614,32451
2119,1929
4711,36719
582,2001
19195,40839
2166,1925
9397,44189
3980,2106
6957,2579
10676,51013
46320,63847
27343,61021
202,1249
287,34375
35382,2584
25994,94336
,35745
23687,50887
8682,49316
13940,37840
36484,59276
80824,70358
9676,56708
55426,70650
261,761
848,5708
10825,3227
4953,5712
4137,759
7210,66396
4438,29926
6936,27921
2473,789
6186,2894
26533,60646
34073,59043
17460,58031
,43016
1098,37534
,41432
4024,44853
8619,44965
6146,26370
54746,72589
5873,4417
192,747
,46423
6143,30443
,71540
524,7051
80120,68673
3043,3281
57428,70132
9843,40047
69407,73947
15769,55425
120,751
1708,2113
2926,2164
25071,52984
3145,31420
1704,30343
8023,40235
4250,896
52391,71283
27534,62488
161,943
2019,2351
7578,55227
2007,2447
3102,26644
2235,2598
2698,36752
3961,2847
67630,69560
23551,63263
22764,62815
10023,51908
3416,10870
566,5718
,69990
56464,69436
5710,45057
2351,755
15653,57959
2293,2893
6045,23019
9486,2172
29057,57623
46033,70006
7562,45772
3092,6701
12157,56538
49036,65845
7536,53640
28157,64826
24292,71878
6698,30402
,97912
9413,43415
1838,3873
12576,42072
24275,60484
1840,2441
31292,66238
5238,2013
2898,26083
,79477
37584,55516
17817,58537
2764,793
447,32793
7510,44803
,57676
,73199
19617,50062
33,63854
550,2379
4887,53916
80857,83768
446,2317
43870,69208
11351,38329
859,3228
40079,71838
10855,44586
8894,36248
,67371
4816,44731
62491,72866
7560,54242
44593,65312
75860,6907
25144,61187
119,945
5303,42625
572,51758
10277,53366
10386,30934
7955,34118
30849,62291
8927,45530
483,23884
39164,64780
56564,72407
14239,58128
44267,59486
9511,44676
1841,947
75076,71505
7673,36439
2796,5274
,21827
11171,33914
1650,1277
10956,52610
15820,64310
284,52498
3148,38170
9278,48225
236,35772
3652,25492
5224,46244
51468,63414
2726,1957
29460,59884
54243,20516
42779,71453
79390,84948
37628,64963
2266,1366
13913,32011
31293,63979
3066,2680
2949,20823
25124,64315
1758,1988
7123,29577
33173,60169
56689,71934
54770,69027
67466,85951
9191,58660
4843,4851
2021,768
31983,62727
26429,69703
16805,57589
4315,1231
3152,45173
20841,59213
494,3125
17615,69190
24360,61727
2786,2538
5529,34140
3266,14744
6150,43948
12087,62597
23164,66613
2721,1952
30524,53184
2004,2066
1760,1251
56283,73083
170,920
6755,52091
39869,68047
4185,42275
16800,58358
6244,52696
164,815
3257,24983
44441,67731
1103,3230
1915,832
57766,70263
51436,17179
60695,73814
2947,23078
37694,71976
6487,82803
1747,811
30498,58640
8103,6524
4064,27870
16266,55518
5467,57256
48841,69440
5158,45352
86185,96738
47959,70196
29430,64212
83368,86871
9394,60963
,82993
123,819
,42185
38766,67821
8072,52364
6142,16968
4931,73920
26246,44979
22499,62705
492,3192
38134,65367
60694,73734
96,28127
6141,36379
38749,57137
1846,1969
5325,35167
6028,28051
586,24522
,89725
306,821
18015,51572
503,24004
,59688
4044,12278
66499,81548
9674,52334
58504,74731
15060,57843
55934,69274
14607,5965
,57259
6259,2190
3049,2604
31762,60394
61722,74042
27372,85318
60271,72855
63436,72484
1795,1432
62168,72621
1752,15367
2377,2839
15258,64261
13118,44310
4045,2404
52285,84675
406,5164
183,1936
29513,80791
1535,1353
25877,2876
3154,20937
8225,47073
616,3289
59639,72216
12154,30992
61701,74009
2010,3234
1992,854
152,855
77737,83282
,75525
186,26086
3093,16186
22501,60300
,55718
8066,15422
4407,37575
36386,66740
10234,1328
5307,34091
42091,65644
58832,73061
26681,63449
56478,72249
44537,64781
10239,1939
580,1272
65803,71072
627,20051
12177,43449
43655,87238
2390,2529
302,1940
,61694
2003,2439
4043,866
32647,60142
366,2050
53952,71853
255,6526
9057,44862
46443,61650
7355,42513
8516,17177
739,3821
74644,87522
10323,53324
71421,71882
3429,31498
296,1225
23233,57714
7582,50513
8899,55600
667,868
1746,2832
,48057
23685,58974
8436,41308
65636,71535
7573,56747
34461,60019
8346,40621
24566,58840
9618,62781
11688,57839
,63490
160,1348
3206,1340
39871,69567
24943,60425
9648,52096
11810,53084
3668,38166
8841,53113
71843,91777
48616,71397
49156,67978
14171,62977
9013,37667
72746,82617
7255,44050
,71215
4063,5134
1998,9996
575,872
51761,72641
10203,53816
1739,2608
56637,68290
319,865
12473,43196
46717,70654
14281,33640
1516,20015
2258,65331
9679,60003
39863,52367
2948,4410
76364,81822
5991,41802
8862,58722
5379,45353
12786,54482
32346,62327
20717,60126
570,29046
,43635
5253,6321
11837,59282
16370,44886
6684,871
,63745
1847,71773
153,2332
,72506
7453,50881
30145,42580
14270,55097
45056,64402
588,2931
30361,40599
9584,47095
2783,2371
3054,4892
74869,82730
4917,20936
31800,44983
37471,2314
19447,54672
2153,2524
15958,59885
69817,74865
39340,66125
6748,16047
63008,80850
34683,64910
8509,2141
43328,67031
21152,59389
7688,50895
9316,71285
6699,48358
22666,3240
21333,58811
4394,65787
1756,16627
9417,32757
12721,61402
2056,18829
