70287,Flower(E-girls),Flower(フラワー),flower-tickets,1,LDH,FALSE,4
58316,BREATHE,BREATHE(ブリーズ),breathe-tickets,1,LDH,FALSE,
,,PROJECT TARO,project-taro-tickets,1,LDH,TRUE,
54911,MATSU/松本利夫,松本利夫(MATSU),matsumoto-toshio-tickets,1,LDH,FALSE,
89817,宮田悟志,宮田悟志(宮田慧),miyata-satoshi-tickets,1,LDH,FALSE,
,,Rabbits(ラビッツ),rabbits-tickets,1,LDH,TRUE,
67893,THE RAMPAGE from EXILE TRIBE,THE RAMPAGE(ランページ),rampage-tickets,1,LDH,FALSE,4
90721,RED DIAMOND DOGS,RED DIAMOND DOGS,red-diamond-dogs-tickets,1,LDH,FALSE,
26144,愛笑む,愛笑む,aiemu-tickets,1,グループ,FALSE,
71340,AiZe,AiZe(アイズ),aize-tickets,1,グループ,FALSE,
60619,I Don’t Like Mondays.,I Don’t Like Mondays.,idlms-tickets,1,グループ,FALSE,
60597,愛はズボーン,愛はズボーン,iwasborn-tickets,1,グループ,FALSE,
62807,Ivy to Fraudulent Game,Ivy to Fraudulent Game,ivytfg-tickets,1,グループ,FALSE,
,,I’ve(アイブ),ive-tickets,1,グループ,TRUE,
5053,OUTRAGE,アウトレイジ(OUTRAGE),outrage-tickets,1,グループ,FALSE,
4421,藍坊主,藍坊主,aobozu-tickets,1,グループ,FALSE,
52608,赤い公園,赤い公園,akaikoen-tickets,1,グループ,FALSE,
63937,赤色のグリッター,赤色のグリッター,akairo-glitter-tickets,1,グループ,FALSE,
27142,アカシアオルケスタ,アカシアオルケスタ,acacia-tickets,1,グループ,FALSE,
59046,アカシック,アカシック,akasick-tickets,1,グループ,FALSE,
55297,aquarifa,aquarifa(アカリファ),aquarifa-tickets,1,グループ,FALSE,
4508,aki(ex.Laputa),aki(Laputa),aki-the-band-tickets,1,グループ,FALSE,
29593,秋休,秋休(AKIYASUMI),akiyasumi-tickets,1,グループ,FALSE,
4849,Aqua Timez,アクアタイムズ(Aqua Timez),category-30347-tickets,1,グループ,FALSE,
71513,Axkey,Axkey(アクスキー),axkey-tickets,1,グループ,FALSE,
32729,access,access(アクセス),access-tickets,1,グループ,FALSE,
68185,ACT ONE AGE,ACT ONE AGE,act-one-age-tickets,1,グループ,FALSE,
61218,a crowd of rebellion,a crowd of rebellion,a-crowd-of-rebellion-tickets,1,グループ,FALSE,
2007,ACIDMAN,ACIDMAN アシッドマン,acidman-tickets,1,グループ,FALSE,
2450,ASIAN KUNG-FU GENERATION,アジカン,asian-kung-fu-generation-tickets,1,グループ,FALSE,
2556,ASPARAGUS,アスパラガス(ASPARAGUS),asparagus-tickets,1,グループ,FALSE,
35070,Asriel,Asriel(アズリエル),asriel-tickets,1,グループ,FALSE,
49418,ATATA,ATATA(アタタ),atata-tickets,1,グループ,FALSE,
90150,ATTACKDEM,アタックデン,attackdem-tickets,1,グループ,FALSE,
60114,ADAM at,ADAM at(アダムアット),adam-at-tickets,1,グループ,FALSE,
2789,ASH(北アイルランドのバンド),ASH(アッシュ),ash-tickets,1,グループ,FALSE,
34361,あっぱ,あっぱ,appa-tickets,1,グループ,FALSE,
2888,吾妻光良,吾妻光良＆SwingingBoppers,boppers-tickets,1,グループ,FALSE,
922,advantage Lucy,advantage Lucy,advantage-tickets,1,グループ,FALSE,
75041,addworks,addworks(アドワークス),addworks-tickets,1,グループ,FALSE,
51853,another sunnyday,another sunnyday (アナサニ),another-sunnyday-tickets,1,グループ,FALSE,
58226,Another Story,アナザーストーリー,another-story-tickets,1,グループ,FALSE,
2877,アナログフィッシュ,アナログフィッシュ,analog-fish-tickets,1,グループ,FALSE,
59456,アネモネ(ヴィジュアル系バンド),アネモネ,anemone-tickets,1,グループ,FALSE,
4777,A Hundred Birds,A Hundred Birds Orchestra,ahb-orchestra-tickets,1,グループ,FALSE,
37701,about tess,about tess,about-tess-tickets,1,グループ,FALSE,
89138,アバンティーズ,アバンティーズ,avntis-tickets,1,グループ,FALSE,
,,After the Rain,after-the-rain-tickets,1,グループ,TRUE,
,,AFTER SCHOOL HANGOUT,after-school-hangout-tickets,1,グループ,TRUE,
20992,a flood of circle,a flood of circle,a-flood-of-circle-tickets,1,グループ,FALSE,
4162,あふりらんぽ ,あふりらんぽ,afrirampo-tickets,1,グループ,FALSE,
